"id","name","category","low_price","high_price","median_price","description"
"60","CodeScan","DevOps",NULL,NULL,NULL,"CodeScan’s static code analysis solution helps Salesforce developers save time, increase productivity, code quality and security."
"61","Edison Design Group","DevOps",NULL,NULL,NULL,"The Edison Design Group is a company that makes compiler front ends for C++ and formerly Java and Fortran."
"62","DB Solo","DevOps",NULL,NULL,NULL,"The SQL Query Tool is a powerful yet affordable cross-platform database development and management tool for both developers and DBAs."
"63","Gnostice","DevOps",NULL,NULL,NULL,"We create document creation/processing components for .NET, Java, Delphi VCL and Delphi FireMonkey platforms."
"64","Guru TechnoLabs","DevOps",NULL,NULL,NULL,"Guru TechnoLabs is an award-winning web & mobile app development company providing web and mobile app design & development solutions to businesses & startups."
"65","Headway","DevOps",NULL,NULL,NULL,"Headway is a software as a service (SaaS) platform designed to accelerate web and mobile development projects"
"66","Jitpack","DevOps",NULL,NULL,NULL,"Easy to use package repository for #JVM and #Android. JitPack builds Git projects on demand and provides ready to use packages. CI:"
"67","jOOQ","DevOps",NULL,NULL,NULL,"jOOQ, a fluent API for typesafe SQL query construction and execution."
"68",NULL,NULL,NULL,NULL,NULL,NULL
"69","MyGet","DevOps",NULL,NULL,NULL,"MyGet is a cloud-based package manager for developers that allows users to create private package repositories for different programming languages and frameworks."
"70","Midrange Dynamics NA","DevOps",NULL,NULL,NULL,"Midrange Dynamics provides application lifecycle and API management for hundreds of enterprises and small IT teams worldwide. As an IBM business partner and member of the IBM ISV council, we continually evolve to address the IBM i technology roadmap and marketplace.  We’ve been advancing MDCMS for 21 years to meet demanding requirements with intuitive, simple-to-use solutions for IBM i and multiplatform development.  Responsiveness to customers’ needs and our agile development strategy position us as a leading tools provider. Whether you’re on the forefront of DevOps practices, heavy into SQL, or mixing old and new methodologies, we can help."
"71","PackageCloud","DevOps",NULL,NULL,NULL,"Free hosted Node.js, Debian, RPM, Java, Python and RubyGem repositories. Chef, Puppet, Jenkins, Buildkite, CircleCI and Travis CI integrations."
"72","OpenZeppelin","DevOps","192288.00","489600.00","414720.00","Instantly detect, respond, and resolve threats and attacks with pre-defined actions and scenarios."
"73","PNF Software","DevOps","26020.00","28404.00","26100.00","PNF Software is the maker of JEB, the most powerful interactive Android app decompiler, built by and for security engineers.Decompile and debug APK files and obfuscated Dalvik bytecode. Decompile Intel x86, ARM and MIPS executable programs and malware...."
"74","Shakudo","DevOps",NULL,NULL,NULL,"Launch a cloud development environment in seconds, scale data workloads, deploy to production and never worry about maintenance. Decrease DevOps time, and increase business value."
"75","Private Packagist","DevOps",NULL,NULL,NULL,"PHP Package Repository for #ComposerPHP (https://t.co/yGGdxG9PzF). See https://t.co/4FXT9joPlq for open source, https://t.co/gbNppAZucF for private packages."
"76","Steema","DevOps",NULL,NULL,NULL,"Leading company in the industry, servicing products and technology solutions to many thousands of developers worldwide."
"77","Trunk.io","DevOps","8552.00","8555.00","8555.00","Bringing industry-leading best practices to every repo, from a one person hobby project to a thousands-strong engineering organization. Trunk is a better way to check, merge, and monitor your code. Meet the new standard toolkit for modern software development."
"78","Webhook.site","DevOps",NULL,NULL,NULL,"Webhook.site is a tool that generates unique URLs and email addresses, allowing users to instantly view all incoming requests, emails, and DNSHooks. It offers advanced workflow creation, data transformation, and built-in integrations with platforms like Google Sheets, Slack, Dropbox, and more, with upgraded accounts providing additional features and removing limitations."
"79","V7","DevOps","12000.00","34635.00","17352.00","V7 is a cloud-based application development platform."
"80","Xceed Software","DevOps",NULL,NULL,NULL,"Xceed Software provides software solutions for developing applications across multiple platforms including Windows, Android and iOS devices."
"81","Accelo","DevOps",NULL,NULL,NULL,"The #1 Service Operations Automation (ServOps) featuring sales, project management, email integration, retainer management, sales tracking, and support."
"82","ActiveState","DevOps",NULL,NULL,NULL,"ActiveState Software Inc. is a Canadian software company headquartered in Vancouver, British Columbia."
"83","Airplane","DevOps",NULL,NULL,NULL,"Turn APIs, SQL, and scripts into internal tools for the entire team."
"84","Appenate","DevOps",NULL,NULL,NULL,"We empower industrial operations with custom worker-facing apps. Employees create digital workflows to replace paper operations, expedite processes, enhance efficiency, capture data offline, and communicate seamlessly—all without coding!"
"85","Appanvil","DevOps",NULL,NULL,NULL,"Appanvil has intranet and page design solutions that can transform the way you work."
"86","Appian","DevOps",NULL,NULL,NULL,"See how Appian, a leader in enterprise low-code & BPM, has transformed the businesses of millions of users worldwide, delivering $9M avg annual ROI."
"87","CoGrammar","DevOps",NULL,NULL,NULL,"Code Review & Mentorship as a Service. Perfecting code, one line at a time.    #closethegap"
"88","CodePen","DevOps",NULL,NULL,NULL,"CodePen is a playground for the front end side of the web. It's all about inspiration, education, and sharing."
"89","CompilerWorks","DevOps",NULL,NULL,NULL,"When an organization is ready to move to the cloud (or a diﬀerent cloud) or wants to make their data scientists more eﬀicient, they need to understand the dependencies, the costs, and the potential risks. "
"90","Binary Stream Software","DevOps",NULL,NULL,NULL,"Innovative solutions for Dynamics 365 — subscription management, consolidation accounting, lease administration and healthcare supply chain."
"91","CUBA platform","DevOps",NULL,NULL,NULL,"Jmix is a general-purpose high productivity software development platform for building line-of-business applications powered by a professional development environment IntelliJ IDEA and focused on implementing advanced business logic compared to Low Cod..."
"92","DuploCloud","DevOps",NULL,NULL,NULL,"DuploCloud offers an end-to-end DevOps software platform for dev teams that don’t have dedicated DevOps engineers and augments those that do. The platform automates the provisioning of your application to the cloud (AWS, GCP, Azure), integrating cloud ops, DevOps, and security/compliance with 24x7 monitoring and support."
"93","DeepSource","DevOps",NULL,NULL,NULL,"DeepSource helps engineering teams ship good code to production faster. Continuously find and fix security vulnerabilities, performance issues, and more."
"94","Expo.dev","DevOps",NULL,NULL,NULL,"The easiest way to create native apps and websites that run everywhere using React."
"95","Exadel","DevOps",NULL,NULL,NULL,"Exadel is a custom software engineering company that assists Fortune 500 enterprises in their Digital Transformation and builds novel IT products: cloud platforms, digital marketing solutions, and low-code mobile app development tools."
"96","FormValidation","DevOps",NULL,NULL,NULL,"FormValidation is a validation library for JavaScript. "
"97","Getform","DevOps",NULL,NULL,NULL,"Getform makes it easy to create powerful form backends without the need for a library. It offers features such as autoresponse emails, webhooks, email notifications, form sharing, and more, allowing you to automate your form and build powerful workflows."
"98","Gemfury","DevOps",NULL,NULL,NULL,"Gemfury is a cloud hosting for your private and custom packages. Once uploaded, you can install packages into your app on any host. It's simple, reliable, and hassle-free."
"99","Garden","DevOps","31000.00","34148.00","31000.00","Garden removes barriers between development, testing, and CI. Use the same workflows and production-like Kubernetes environments at every step of the process."
"100","Go2Group ConnectAll","DevOps",NULL,NULL,NULL,"Learn how the ConnectALL Integration Platform enables Value Stream integration by connecting people, processes and tools."
"101","IAR Systems","DevOps",NULL,NULL,NULL,"IAR Systems is a Swedish computer software company that offers development tools for embedded systems."
"102","Internal.io","DevOps",NULL,NULL,NULL,"No-code Internal tools.The fastest way to build internal applications on top of your existing business systems, APIs, and databases - without code."
"103","Interval","DevOps",NULL,NULL,NULL,"Interval is the internal tool builder for teams that love writing code but hate building UIs. Interval generates full web apps just from backend Node.js or Python code."
"104","Koombea","DevOps",NULL,NULL,NULL,"A leading mobile and web app development partner for startups and enterprises looking to bring their ideas to reality."
"105","MapTiler","DevOps",NULL,NULL,NULL,"Easy to use maps, documentation, code samples, and
developer tools for web & mobile."
"106","Nagarro","DevOps",NULL,NULL,NULL,"Nagarro is a digital product engineering and technology consulting firm that helps businesses transform their industries with agile, cutting-edge technologies. They offer innovative thinking breakthroughs and a variety of services to accelerate customer vision and success."
"107","NDepend","DevOps",NULL,NULL,NULL,"NDepend is the premier static code analysis tool that empowers .NET architects and developers to make informed decisions when working with complex or legacy codebases."
"108","Platform9","DevOps",NULL,NULL,NULL,"Platform9 is a unified infrastructure management tool that empowers DevOps and Platform Engineering teams to deploy, manage, and run cloud infrastructure anywhere. The product eliminates operational hurdles and cost concerns, allowing developers and data scientists to focus on innovation, and introduces Elastic Machine Pool, a feature that improves Amazon Elastic Kubernetes Service (EKS) cluster CPU and memory utilization."
"109","Ongraph","DevOps",NULL,NULL,NULL,"We are an award-winning Web and Mobile App Development Company offering services for Android, iOS, Blockchain, Automation Solutions to Enterprises."
"110","PullApprove","DevOps",NULL,NULL,NULL,"Coordinate code review and automatically assign reviewers without custom code."
"111","PythonAnywhere","DevOps",NULL,NULL,NULL,"Host, run, and code Python in the cloud: PythonAnywhere"
"112","Plausible Labs","DevOps",NULL,NULL,NULL,"Better code through science! We're your friendly neighborhood software cooperative."
"113","Port","DevOps",NULL,NULL,NULL,"Port is an internal developer portal that enables teams to build a customizable software catalog and implement self-service actions, enhancing developer productivity and streamlining workflows."
"114","Riverbank Computing","DevOps",NULL,NULL,NULL,"Riverbank Computing Limited is a company registered in England and Wales."
"115","Quickbase","DevOps","6513.00","80400.00","64230.00","Quickbase is a dynamic work and complex project management platform that offers solutions for industries like construction, manufacturing, government, and solar. It provides a variety of app templates for contract management, shop floor management, and more, with features for automations, insights, mobile access, and security."
"116","ServiceStack","DevOps",NULL,NULL,NULL,"ServiceStack is an open source .NET development framework used for creating web services and applications with clean code architecture in mind"
"117","Smart Apps Creator","DevOps",NULL,NULL,NULL,"The easiest free app and Html5 design tool. Create app in minutes - Smart Apps  Creator 3"
"118","Snapbytes","DevOps",NULL,NULL,NULL,"Modernize your SDLC and business processes with our expertise in DevOps, Atlassian, Jira, Service Desk and custom development solutions."
"119","Streamlit","DevOps",NULL,NULL,NULL,"Streamlit is an open-source app framework for Machine Learning and Data Science teams. Create beautiful web apps in minutes."
"120","Tasktop","DevOps",NULL,NULL,NULL,"Tasktop is a value stream management solution for software organizations, that connects development and operation tools, and enables better insights around process and delivered value."
"121","SubX","DevOps",NULL,NULL,NULL,"SubX is a  no-code dApp builder platform with pre-built templates."
"122","Telerik","DevOps","5411.00","34200.00","14830.00","Save time building sleek web, mobile and desktop apps with professional .NET UI Components, JavaScript UI Libraries, Reporting and Automated Testing solutions."
"123","Tivity","DevOps",NULL,NULL,NULL,"THE OPERATING SYSTEM FOR THE DIGITAL TRANSFORMATION. Integrate data & apps; Modernize legacy applications and create new apps without a line of code."
"124","Touchtone","DevOps",NULL,NULL,NULL,"Wintouch is a powerful low-code application builder that quickly creates custom apps to store data in the cloud and streamline operations."
"125","TrackVia","DevOps",NULL,NULL,NULL,"Workflow software for business. With TrackVia's low-code platform, deliver customized web & mobile workflow apps quickly & easily."
"126","Unblocked","DevOps","53489.00","72612.00","54036.00","Unblocked eliminates the time developers waste as they deal with interruptions, search for documents, and mine for answers to questions about their codebase."
"127","Vaadin","DevOps",NULL,NULL,NULL,"Vaadin is an open-source platform for web application development."
"128","Vector Draw","DevOps",NULL,NULL,NULL,"VectorDraw Developer Framework (VDF) is an easy to program SDK component that every developer need to easily create and manage and print 2D and 3D drawings in his applications."
"129","Webiny","DevOps",NULL,NULL,NULL,"Webiny is an open-source, serverless content management system designed for enterprises, offering features such as a headless CMS, page builder, control panel, file manager, and form builder. It allows for customization, integration, and extension on a highly scalable AWS serverless infrastructure, and hosts in your own AWS cloud, enhancing the reliability, performance, and security of your content platform."
"130","8xtrade","DevOps",NULL,NULL,NULL,"8tra.de is a no-code SaaS marketplace builder for businesses."
"131","VisualHint","DevOps",NULL,NULL,NULL,"Smart PropertyGrid for .Net and for MFC is available to Windows developers, as well as a new product called Smart FieldPackEditor.Net."
"132","AIIP, LLC","DevOps",NULL,NULL,NULL,"AIIP, LLC develops custom applications to help increase your business productivity."
"133","AI Software LLC","DevOps",NULL,NULL,NULL,"AI Software LLC provides enterprise level custom software development and staff augmentation services with offices in Michigan and California."
"134","Alpha Software","DevOps",NULL,NULL,NULL,"Alpha Anywhere allows anyone to build powerful, enterprise mobile apps while giving IT the control to manage the environment and integration. Winner of Infoworld Technology of the Year."
"135","10 Grounds","DevOps",NULL,NULL,NULL,NULL
"136","anycode.io","DevOps",NULL,NULL,NULL,"anycode.io is a software-as-a-service platform that enables businesses to develop, deploy and manage their enterprise applications."
"137","Anysphere","DevOps",NULL,NULL,NULL,"Anysphere is an applied research lab revolutionizing coding through advanced AI solutions. Their mission is to create a hybrid human-AI programmer, enhancing efficiency and control over complex systems."
"138","Api.ai","DevOps",NULL,NULL,NULL,"A conversational user experience platform."
"139","AppArchitect","DevOps",NULL,NULL,NULL,"With AppArchitect, building native iPhone and iPad Apps is as easy as using PowerPoint. Anyone can have a unique App in minutes."
"140","App India","DevOps",NULL,NULL,NULL,"App India is a leading IT services provider of innovative software products and services, committed to delivering world-class solutions for its customers."
"141","AppLaunchpad","DevOps",NULL,NULL,NULL,"AppLaunchpad is an android & ios screenshot generator to create customized App Store & Google Play images for your app & export them in resolutions Apple & Google require."
"142","AppSheet","DevOps",NULL,NULL,NULL,"Create an app with AppSheet in an instant. Mobile app development made simple. No code required. Make an app for free."
"143","Appsmith","DevOps",NULL,NULL,NULL,"Appsmith is an open-source low-code tool that helps developers build internal tools, dashboards, and admin panels rapidly, streamlining operations and enhancing legacy apps."
"144","Appy Pie","DevOps",NULL,NULL,NULL,"Appy Pie is a mobile app creator released for Android, iOS, Fire OS, Windows Phone, and BlackBerry platforms that allows its users to create and monetize different types of mobile apps."
"145","AppStudio","DevOps",NULL,NULL,NULL,"AppStudio is a leading mobile app development company in Canada, specializing in scalable application development services across diverse verticals."
"146","Aquip.io","DevOps",NULL,NULL,NULL,"Aquip.io is an international consultancy specializing in full stack application development, AI & BI tools, process automation and business solutions."
"147","Araelium","DevOps",NULL,NULL,NULL,"Mac OS X software for screen recording, MySQL database management, disk image (dmg) creation, and more. Software apps include Screenflick, Querious, DMG Canvas, and QuickPick."
"148","babelforce","DevOps",NULL,NULL,NULL,"Global cloud communications platform focussed on no-code integration & automation. It allows non-technical people to build complex integrated processes."
"149","Blast Off Apps","DevOps",NULL,NULL,NULL,"Agile app development based in pittsburgh, working in the cloud. Develop your app the way the competition does and get a full agile development department."
"150","Audiokinetic","DevOps",NULL,NULL,NULL,"Audiokinetic Inc. is a Canadian software company based in Montreal, Quebec that develops audio software for the video game industry."
"151","banshee-php.org","DevOps",NULL,NULL,NULL,"Banshee-php.org is an open source web application framework for building dynamic websites and applications."
"152","BlueStacks Android Emulator","DevOps",NULL,NULL,NULL,"BlueStacks is an American technology company known for the BlueStacks App Player and other cloud-based cross-platform products."
"153","Beautiful Code","DevOps",NULL,NULL,NULL,"Scale your Engineering team with BeautifulCode. We help business build and manage world-class remote technical teams."
"154","BillionApps","DevOps",NULL,NULL,NULL,"BillionApps is a trusted technology services company serving Web and Mobile App development projects and IT Staff Augmentation."
"155","Bluefish","DevOps",NULL,NULL,NULL,"Bluefish is a powerful editor targeted towards programmers and web developers, with many options to write websites, scripts and programming code."
"156","BOFC","DevOps",NULL,NULL,NULL,"BOFC, world’s #1 Salesforce Metadata Application that empowers your Salesforce admins & developers to carry out bulk metadata operations"
"157","BoxUK","DevOps",NULL,NULL,NULL,"Box UK are award-winning Agile software consultants, bespoke software developers and UX practitioners delivering high performance digital products."
"158","BytePlus","DevOps",NULL,NULL,NULL,"BytePlus is a technology company that offers a wide range of intelligent solutions to help businesses build better products, deliver richer experiences, and accelerate growth. Their products are designed with privacy and security in mind, ensuring the ..."
"159","Botsify","DevOps",NULL,NULL,NULL,"Ever wonder if you could replace your live chat support system with a chatbot?. Its possible now with Botsify Chatbot For Website."
"160","Builtinsoft","DevOps",NULL,NULL,NULL,"Builtinsoft Ltd. is a rapidly growing IT Company founded in 2019, specializing in various IT services."
"161","CadLib","DevOps",NULL,NULL,NULL,"Add CAD capabilities to your .NET application with CadLib. Easily read, write, display or export DWG and DXF files in C#, VB.NET or any other .NET language. Converters to all popular image formats as well as Pdf, PostScript and SVG."
"162","Chainstack","DevOps",NULL,NULL,NULL,"Chainstack is a leading blockchain infrastructure provider offering a suite of services for developers to build, run, and scale blockchain applications across various sectors like DeFi, NFT, gaming, and analytics."
"163","Castle Project","DevOps",NULL,NULL,NULL,"Castle Project - build your .NET projects on a rock solid foundation"
"164","Chatfuel","DevOps",NULL,NULL,NULL,"Chatfuel is the leading bot platform for creating AI chatbots for Facebook. Learn how to create a Facebook Messenger bot quickly and easily - no coding required."
"165","CloudRepo","DevOps",NULL,NULL,NULL,"Maven Repositories are meant to be shared. CloudRepo helps you share your Maven Repositories with your team, your customers, or the public."
"166","Calls9","DevOps",NULL,NULL,NULL,"Calls9 is a leading Digital Transformation Agency that offers services such as AI integration, digital product design and development, web development, legacy system modernisation, and innovation consultancy. They provide businesses with the technology and expertise needed to realise their full potential, with a unique approach that builds a team of digital experts tailored to your needs and budget."
"167","CodeRabbit","DevOps",NULL,NULL,NULL,"CodeRabbit provides detailed, line-by-line code suggestions and conversation capabilities for Q&amp;A within your lines of code."
"168","Codeless Solutions","DevOps",NULL,NULL,NULL,"Codeless is a unique combination of low-code and custom code development designed for fast building of modern business applications with great user experience."
"169","CodeFirst","DevOps",NULL,NULL,NULL,"The UK's #1 Agile Software Development Company. CodeFirst builds custom software solutions for businesses worldwide. Call today for a free consultation."
"170","Code Science","DevOps",NULL,NULL,NULL,"As a Master PDO, CodeScience helps partners thrive on the AppExchange, through the Salesforce lifecycle from build to commercialize to deploy."
"171","cre8","DevOps",NULL,NULL,NULL,"We provide web strategy, design, and web application development services for small and medium-sized businesses."
"172","Cucumber","DevOps",NULL,NULL,NULL,"Cucumber is a software tool that supports behavior-driven development."
"173","CruzataSoft","DevOps",NULL,NULL,NULL,"CruzataSoft Cloud Pvt. Ltd. offers services for custom software application development, web and mobile app development, enterprise application software."
"174","CollabNet","DevOps",NULL,NULL,NULL,"CollabNet is a software development and delivery solutions provider headquartered in South San Francisco, California."
"175","CYBRA","DevOps",NULL,NULL,NULL,"CYBRA Corporation is a software developer, publisher, and systems integrator in the IBM midrange market."
"176","datree.io","DevOps",NULL,NULL,NULL,"Accelerate delivery of quality software, and ensure operational efficiency and quality."
"177","Datics AI","DevOps",NULL,NULL,NULL,"Partner with a leading custom software development company and craft tailored solutions that perfectly align with your unique business goals."
"178","Cynetis Embedded","DevOps",NULL,NULL,NULL,"Outils de Développement, Logiciel Embarqué pour MCU/MPU et Cartes Electroniques Industrielles sur étagère pour accélérer la conception de vos systèmes embarqués"
"179","DevCom","DevOps",NULL,NULL,NULL,"DevCom is a full-service custom software development company."
"180","DevFactory FZ","DevOps",NULL,NULL,NULL,"DevFactory FZ's solution suite of DevSpaces, CodeRead, and CodeFix enable developers to off-load highly-manual, labor-intensive, and low-level software development tasks to focus on building great software"
"181","Dedicogroup","DevOps",NULL,NULL,NULL,"Dedico Pvt Ltd - as one of fastest growing Software development Company. We are highly experienced in software development and offering software development services to clients in Switzerland and India since 2007. Our development company mastery in ope..."
"182","DiscoverSDK","DevOps",NULL,NULL,NULL,"Discover the best Software development components and libraries on the DiscoverSdk. Our B2B marketplace features an ever-growing number of development solutions and outsourced services. Check us out online!"
"183","Diffco","DevOps",NULL,NULL,NULL,"Diffco is the leading software development and staff augmentation company. Full-cycle development and dedicated teams."
